Name,Region,Longitude,Latitude,Water depth (m),Annual mean SST (°C)a,Annual mean temperature 0-200 m (°C)a,fGDGT-0,fGDGT-1,fGDGT-2,fGDGT-3,fcren,fcren',fOH-GDGT-0,fOH-GDGT-1,fOH-GDGT-2,GDGT-0,GDGT-1,GDGT-2,GDGT-3,cren,cren',OH-GDGT-0,OH-GDGT-1,OH-GDGT-2,BITd,TEX86,RI-OH,RI-OH',OHC,%OH,TEX86OH,Lab,Methodse,MS infof,Reference paper,Reference paper for non-hydroxylated isoGDGTs
370540,Baltic Sea,20.12,57.28,243,8.4,5.2,0.46,0.02,0.01,0,0.5,0,0.79,0.16,0.05,34601238,1825860,669573,220270,37259603,253317,4285045,868467,243333,0.01,0.39,1.22,0.25,-0.38,6.73,0.16,NIOZ,2,1,This study,"Sinninghe Damsté et al., 2022"
372720,Baltic Sea,15.47,55.26,96,8.2,2.8,0.45,0.02,0.01,0,0.52,0,0.83,0.13,0.04,13745085,744030,274073,86801,15897820,102176,1672183,264397,71584,0.02,0.38,1.21,0.2,-0.38,6.11,0.16,NIOZ,2,1,This study,"Sinninghe Damsté et al., 2022"
372820,Baltic Sea,23.1,65.18,122,5,1,0.45,0.02,0.01,0,0.52,0,0.88,0.09,0.03,16403680,879252,251900,85732,19101300,119656,2489063,259554,71441,0.08,0.34,1.22,0.14,-0.49,7.11,0.12,NIOZ,2,1,This study,"Sinninghe Damsté et al., 2022"
377830,Baltic Sea,18.89,62.85,210,6.1,2.2,0.44,0.02,0.01,0,0.52,0,0.88,0.09,0.03,7078818,367866,106568,34240,8357451,51952,1093777,116286,31493,0.09,0.34,1.21,0.14,-0.5,7.2,0.12,NIOZ,2,1,This study,"Sinninghe Damsté et al., 2022"
377850,Baltic Sea,19.73,61.07,136,6,1.5,0.41,0.04,0.01,0,0.54,0,0.83,0.11,0.06,7412805,661951,197762,66423,9684441,51215,1381161,180557,95343,0.26,0.32,1.35,0.22,-0.4,8.4,0.13,NIOZ,2,1,This study,"Sinninghe Damsté et al., 2022"
377860,Baltic Sea,20.42,58.82,195,8.1,4.4,0.51,0.02,0.01,0,0.46,0,0.82,0.14,0.04,28910156,1366833,506743,166329,26121988,172900,3831195,641141,177353,0.01,0.38,1.22,0.21,-0.44,7.51,0.14,NIOZ,2,1,This study,"Sinninghe Damsté et al., 2022"
EMB046-10 ,North Sea,7.29,57.83,457,9.5,7.4,0.49,0.02,0.01,0,0.47,0,0.83,0.14,0.03,9600458,448194,124602,65907,9198834,45328,846181,138526,34644,0.06,0.34,1.2,0.2,-0.36,4.97,0.15,NIOZ,2,1,This study,"Sinninghe Damsté et al., 2022"
EMB046-20 ,North Sea,9.48,58.53,532,9.4,7.6,0.46,0.02,0.01,0,0.51,0,0.8,0.16,0.04,4080737,197261,51820,30911,4520858,26385,336560,66681,17192,0.09,0.36,1.2,0.24,-0.31,4.51,0.17,NIOZ,2,1,This study,"Sinninghe Damsté et al., 2022"
I Dougo 1,Iberian margin,-8.69,41.13,15,15.9,13.7,0.5,0.04,0.02,0.01,0.43,0,0.51,0.31,0.18,10403137,860996,381348,144397,8891138,61189,176055,106218,60010,,0.41,1.36,0.66,0.23,1.62,0.36,NIOZ,1,1,This study,"Kim et al., 2016"
I Dougo 2,Iberian margin,-8.87,41.15,51,15.9,13.7,0.47,0.04,0.02,0.01,0.46,0,0.5,0.34,0.17,10542956,853408,429231,140866,10277798,65879,299201,213421,104406,,0.43,1.33,0.67,0.16,2.69,0.36,NIOZ,1,1,This study,"Kim et al., 2016"
I Dougo 3,Iberian margin,-9.07,41.24,104,15.9,13.7,0.43,0.05,0.02,0.01,0.49,0.01,0.46,0.34,0.2,19445066,2098642,1078800,397278,22177571,275361,552442,408464,233394,,0.45,1.36,0.73,0.24,2.56,0.4,NIOZ,1,1,This study,"Kim et al., 2016"
I Dougo 4,Iberian margin,-9.08,41.13,110,15.9,13.7,0.4,0.05,0.02,0.01,0.51,0.01,0.46,0.35,0.2,28689129,3439856,1561918,703662,35857225,592974,1021038,774979,447459,0.03,0.45,1.37,0.74,0.22,3.07,0.39,NIOZ,1,1,This study,"Kim et al., 2016"
I Dougo 5,Iberian margin,-9.34,41.14,506,15.9,13.7,0.38,0.06,0.04,0.01,0.48,0.02,0.43,0.33,0.24,3111020,514808,331135,88035,3914999,134814,72066,56104,39494,0.02,0.52,1.41,0.81,0.39,2.03,0.49,NIOZ,1,1,This study,"Kim et al., 2016"
I Dougo 6,Iberian margin,-9.37,41.13,1007,15.9,13.7,0.34,0.07,0.06,0.01,0.51,0.02,0.41,0.35,0.24,4113334,795007,679849,119611,6162483,285974,90964,75987,52479,0.02,0.58,1.41,0.82,0.47,1.77,0.55,NIOZ,1,1,This study,"Kim et al., 2016"
I Dougo 7,Iberian margin,-9.61,41.14,1989,15.9,13.7,0.32,0.07,0.07,0.01,0.49,0.03,0.47,0.31,0.22,2117105,454952,483612,52337,3232911,198236,42404,28425,19831,0.01,0.62,1.41,0.75,0.54,1.37,0.6,NIOZ,1,1,This study,"Kim et al., 2016"
II Mondego 1,Iberian margin,-8.97,40.13,28,16.2,14,0.47,0.04,0.02,0.01,0.46,0.01,0.5,0.34,0.16,1599728,150649,54446,32363,1568387,18367,66994,45255,21288,0.05,0.41,1.32,0.66,0.1,3.75,0.33,NIOZ,1,1,This study,"Kim et al., 2016"
II Mondego 2,Iberian margin,-9.25,40.13,108,16.2,14,0.41,0.05,0.02,0.01,0.5,0.01,0.46,0.34,0.2,4988064,594382,253435,116442,6038505,89497,146822,108264,63187,0.02,0.44,1.37,0.74,0.23,2.57,0.38,NIOZ,1,1,This study,"Kim et al., 2016"
II Mondego 3,Iberian margin,-9.7,40.13,505,16.2,14,0.37,0.07,0.05,0.01,0.49,0.02,0.41,0.33,0.26,2306672,422114,293693,68218,3089435,115227,48914,39655,31114,0.02,0.53,1.44,0.85,0.42,1.87,0.5,NIOZ,1,1,This study,"Kim et al., 2016"
II Mondego 4,Iberian margin,-9.83,40.13,981,16.2,14,0.31,0.07,0.07,0.01,0.52,0.03,0.41,0.34,0.25,4005958,875896,878243,121821,6801065,379661,74462,61206,44374,0.01,0.61,1.42,0.83,0.54,1.36,0.59,NIOZ,1,1,This study,"Kim et al., 2016"
II Mondego 5,Iberian margin,-9.97,40.13,1808,16.2,14,0.31,0.07,0.07,0.01,0.51,0.03,0.46,0.32,0.22,8269623,1792882,1970619,212797,13729058,811044,160500,110423,75302,0.01,0.63,1.41,0.75,0.55,1.28,0.61,NIOZ,1,1,This study,"Kim et al., 2016"
III Estremadura 1,Iberian margin,-9.47,38.95,41,16.5,14.6,0.44,0.05,0.02,0.01,0.47,0.01,0.42,0.36,0.22,1081798,133748,54494,25607,1152099,16958,37019,31471,19166,0.03,0.42,1.38,0.8,0.19,3.43,0.36,NIOZ,1,1,This study,"Kim et al., 2016"
III Estremadura 2,Iberian margin,-9.48,38.93,48,16.5,14.6,0.42,0.05,0.02,0.01,0.48,0.01,0.44,0.35,0.21,1993578,242789,98877,51136,2275748,32741,79307,62839,38787,0.03,0.43,1.38,0.78,0.17,3.71,0.36,NIOZ,1,1,This study,"Kim et al., 2016"
III Estremadura 3,Iberian margin,-9.67,39.03,116,16.4,14.2,0.39,0.05,0.02,0.01,0.52,0.01,0.43,0.33,0.24,21661581,2813162,1258312,584697,28979981,431255,653746,509552,364704,0.01,0.45,1.42,0.81,0.24,2.67,0.4,NIOZ,1,1,This study,"Kim et al., 2016"
III Estremadura 4,Iberian margin,-9.64,38.97,119,16.5,14.6,0.39,0.05,0.02,0.01,0.52,0.01,0.43,0.35,0.22,16795861,2171845,994802,444735,22602523,388955,542038,437988,275084,0.02,0.46,1.39,0.79,0.24,2.81,0.4,NIOZ,1,1,This study,"Kim et al., 2016"
III Estremadura 5,Iberian margin,-10,39.01,259,17,14.6,0.38,0.06,0.04,0.01,0.5,0.01,0.4,0.35,0.25,6408781,1026260,594958,190461,8414082,232017,146220,125480,90159,0.01,0.5,1.42,0.85,0.36,2.1,0.46,NIOZ,1,1,This study,"Kim et al., 2016"
III Estremadura 6,Iberian margin,-10,39.26,308,17,14.6,0.36,0.06,0.04,0.01,0.51,0.02,0.39,0.34,0.27,3441386,607798,376468,110114,4824894,155162,75942,66392,51661,0.01,0.51,1.44,0.87,0.39,2,0.48,NIOZ,1,1,This study,"Kim et al., 2016"
III Estremadura 7,Iberian margin,-10.13,39.34,1100,17,14.6,0.3,0.07,0.07,0.01,0.53,0.03,0.4,0.34,0.26,2692205,620771,633747,87405,4800003,288642,47779,40467,30897,0.01,0.62,1.43,0.86,0.55,1.29,0.6,NIOZ,1,1,This study,"Kim et al., 2016"
III Estremadura 8,Iberian margin,-10.22,39.42,1980,17,14.6,0.31,0.07,0.08,0.01,0.51,0.03,0.47,0.31,0.22,3421433,766928,836860,80020,5595805,356999,67170,44692,31785,0.01,0.62,1.42,0.75,0.55,1.28,0.6,NIOZ,1,1,This study,"Kim et al., 2016"
IV Tagus 1,Iberian margin,-9.36,38.61,20,16.5,14.6,0.46,0.04,0.02,0.01,0.46,0.01,0.47,0.35,0.19,2020870,195292,82163,38563,2006737,25366,58246,42954,23135,0.17,0.43,1.35,0.72,0.19,2.77,0.37,NIOZ,1,1,This study,"Kim et al., 2016"
IV Tagus 2,Iberian margin,-9.36,38.58,48,16.5,14.6,0.44,0.04,0.02,0.01,0.49,0.01,0.46,0.35,0.18,24624425,2376499,964547,457179,27361210,326699,740920,563105,291595,0.07,0.42,1.34,0.72,0.18,2.77,0.36,NIOZ,1,1,This study,"Kim et al., 2016"
IV Tagus 3,Iberian margin,-9.47,38.65,81,16.5,14.6,0.4,0.05,0.02,0.01,0.51,0.01,0.44,0.35,0.21,25345340,2909552,1277202,590356,32146683,432065,839252,655110,394581,0.05,0.44,1.38,0.76,0.21,2.92,0.38,NIOZ,1,1,This study,"Kim et al., 2016"
IV Tagus 4,Iberian margin,-9.37,38.56,94,16.5,14.6,0.42,0.04,0.02,0.01,0.5,0.01,0.45,0.36,0.2,11355876,1195366,518406,237348,13772743,200633,338999,269900,148442,0.07,0.44,1.35,0.75,0.21,2.7,0.38,NIOZ,1,1,This study,"Kim et al., 2016"
IV Tagus 5,Iberian margin,-9.42,38.42,478,16.5,14.6,0.36,0.06,0.04,0.01,0.52,0.02,0.43,0.35,0.22,13430755,2063240,1333630,342041,19112540,567413,324393,263817,163254,0.02,0.52,1.38,0.79,0.38,2,0.48,NIOZ,1,1,This study,"Kim et al., 2016"
IV Tagus 6,Iberian margin,-9.43,38.39,1052,16.5,14.6,0.33,0.06,0.05,0.01,0.52,0.02,0.43,0.34,0.23,21784656,4135175,3564208,581225,34878107,1561501,477610,375458,256703,0.02,0.58,1.41,0.8,0.48,1.64,0.55,NIOZ,1,1,This study,"Kim et al., 2016"
IV Tagus 7,Iberian margin,-9.48,38.23,2432,16.5,14.6,0.31,0.06,0.07,0.01,0.52,0.03,0.48,0.32,0.2,10717954,2217402,2274094,262890,17943293,1027258,234424,156623,96458,0.02,0.62,1.38,0.72,0.53,1.4,0.59,NIOZ,1,1,This study,"Kim et al., 2016"
V Sado 1,Iberian margin,-8.99,38.45,48,16.5,14.6,0.39,0.05,0.02,0.01,0.53,0.01,0.43,0.34,0.23,8463443,983489,403671,194138,11438032,144163,244363,196281,129855,0.07,0.43,1.4,0.8,0.22,2.57,0.38,NIOZ,1,1,This study,"Kim et al., 2016"
V Sado 2,Iberian margin,-9.06,38.42,98,16.5,14.6,0.4,0.05,0.02,0.01,0.51,0.01,0.41,0.37,0.22,15679118,1940672,930288,394339,20055119,339999,526006,468053,279640,0.04,0.46,1.37,0.81,0.23,3.14,0.4,NIOZ,1,1,This study,"Kim et al., 2016"
V Sado 3,Iberian margin,-9.24,38.34,516,16.5,14.6,0.36,0.06,0.04,0.01,0.52,0.02,0.43,0.35,0.22,12476091,2003907,1338239,318643,17817657,572899,296471,245041,155021,0.02,0.53,1.39,0.8,0.39,1.98,0.49,NIOZ,1,1,This study,"Kim et al., 2016"
V Sado 4,Iberian margin,-9.26,38.33,979,16.5,14.6,0.33,0.06,0.06,0.01,0.52,0.02,0.42,0.34,0.24,17478783,3444803,3037688,474150,27867786,1333917,351514,281856,197791,0.02,0.58,1.41,0.82,0.49,1.53,0.56,NIOZ,1,1,This study,"Kim et al., 2016"
S5,Australia,150.85,-35.45,765,20,17.3,0.4,0.07,0.06,0.01,0.45,0.01,0.35,0.29,0.36,4257892,783812,636421,112314,4707378,73986,95160,78736,95728,,0.51,1.55,1,0.39,2.49,0.48,NIOZ,2,1,This study,"Smith et al., 2013"
S8,Australia,154.01,-28.09,586,23.6,21.4,0.41,0.07,0.06,0.01,0.44,0.01,,,,8361416,1488287,1294830,103334,8994789,214629,,,,,0.52,,,,,0.52,NIOZ,2,1,This study,"Smith et al., 2013"
S10,Australia,154.03,-39.66,954,17.2,15.1,0.39,0.07,0.04,0.01,0.48,0.01,0.45,0.32,0.23,10289133,1720648,1098486,229578,12622653,236452,232255,165550,120718,,0.48,1.42,0.78,0.35,1.94,0.44,NIOZ,2,1,This study,"Smith et al., 2013"
LOCO 2008 1-2,Mozambique Channel,43.1,-17.25,1027,26.4,23.1,0.18,0.06,0.1,0.02,0.58,0.05,0.28,0.24,0.48,3880040,1342318,2173693,375807,12216346,1094128,44428,38039,76481,0.02,0.73,1.67,1.2,0.7,0.75,0.72,NIOZ,2,1,This study,"Fallet et al., 2012"
LOCO 2008 2-1,Mozambique Channel,43.16,-17.27,455,26.4,23.1,0.13,0.05,0.08,0.02,0.66,0.05,0.17,0.24,0.58,1846606,728682,1121554,314311,9071137,723005,19661,27387,65875,0.03,0.75,1.71,1.41,0.71,0.81,0.74,NIOZ,2,1,This study,"Fallet et al., 2012"
LOCO 2008 2-2,Mozambique Channel,43.16,-17.27,455,26.4,23.1,0.14,0.06,0.08,0.02,0.63,0.06,0.17,0.23,0.59,3265580,1257214,1902005,531880,14272914,1303048,10224,13716,35073,0.04,0.75,1.72,1.42,0.74,0.26,0.75,NIOZ,2,1,This study,"Fallet et al., 2012"
LOCO 2008 3-1,Mozambique Channel,41.6,-16.92,2768,27.4,22.7,0.21,0.06,0.09,0.01,0.58,0.05,,,,536484,160798,235685,32309,1495611,132638,,,,0.2,0.71,,,,,0.71,NIOZ,2,1,This study,"Fallet et al., 2012"
LOCO 2008 3-2,Mozambique Channel,41.6,-16.92,2768,27.4,22.7,0.14,0.04,0.07,0.01,0.68,0.06,0.43,0.19,0.38,1306138,414263,681432,115050,6440778,578407,24783,11043,21762,0.3,0.77,1.66,0.95,0.73,0.6,0.76,NIOZ,2,1,This study,"Fallet et al., 2012"
LOCO 2008 4-1,Mozambique Channel,40.13,-16.56,1345,27.3,21.9,0.17,0.06,0.09,0.02,0.6,0.06,0.25,0.21,0.54,3826907,1313001,1992581,369762,13293709,1331914,13977,11565,29606,0.1,0.74,1.72,1.28,0.73,0.25,0.74,NIOZ,2,1,This study,"Fallet et al., 2012"
LOCO 2008 4-2,Mozambique Channel,40.13,-16.56,1345,27.3,21.9,0.1,0.04,0.07,0.01,0.72,0.06,0.25,0.23,0.53,796647,282677,505130,109974,5561344,437075,6169,5644,13182,0.22,0.79,1.7,1.28,0.77,0.32,0.78,NIOZ,2,1,This study,"Fallet et al., 2012"
LOCO 2008 5-1,Mozambique Channel,40.87,-16.73,2266,27.3,21.9,0.17,0.06,0.09,0.01,0.61,0.05,0.37,0.2,0.44,807333,271691,437065,59577,2864828,241192,6297,3368,7453,0.08,0.73,1.69,1.07,0.71,0.36,0.73,NIOZ,2,1,This study,"Fallet et al., 2012"
LOCO 2008 5-2,Mozambique Channel,40.87,-16.73,2266,27.3,21.9,0.11,0.04,0.08,0.01,0.68,0.07,0.37,0.19,0.45,3052334,1139471,2172037,379968,18584460,2001002,47070,23734,57120,0.12,0.8,1.71,1.08,0.77,0.47,0.79,NIOZ,2,1,This study,"Fallet et al., 2012"
LOCO 2008 6-1,Mozambique Channel,42.48,-17.1,2198,27.3,22.8,0.2,0.06,0.1,0.01,0.57,0.06,,,,653658,204252,311509,37735,1850754,180796,,,,0.07,0.72,,,,,0.72,NIOZ,2,1,This study,"Fallet et al., 2012"
LOCO 2008 6-2,Mozambique Channel,42.48,-17.1,2198,27.3,22.8,0.15,0.05,0.08,0.01,0.64,0.07,0.4,0.2,0.4,2149040,672670,1107139,162253,8879028,934390,13607,6655,13586,0.08,0.77,1.67,1,0.75,0.24,0.76,NIOZ,2,1,This study,"Fallet et al., 2012"
VA06-399VL,Mozambique Channel,35.75,-20.97,510,26,,0.22,0.07,0.08,0.02,0.58,0.04,0.2,0.28,0.52,9290464,2773483,3376290,717849,24248305,1757585,98430,138010,260240,0.06,0.68,1.65,1.33,0.63,1.16,0.67,NIOZ,2,1,This study,
VA02-340GR,Mozambique Channel,36.93,-19.33,450,26.3,,0.23,0.07,0.07,0.02,0.57,0.03,0.27,0.25,0.49,331274,95701,105198,25820,817243,46665,6778,6299,12479,0.1,0.65,1.66,1.22,0.57,1.77,0.63,NIOZ,2,1,This study,
VA02-408VL,Mozambique Channel,38.17,-19.19,1935,26.8,22,0.26,0.07,0.09,0.01,0.53,0.05,0.38,0.23,0.39,13347962,3475270,4660753,694152,27517892,2506226,224866,135924,227926,0.13,0.69,1.63,1.01,0.64,1.12,0.68,NIOZ,2,1,This study,
VA02-460KL,Mozambique Channel,38.14,-17.71,260,27,21.8,0.18,0.07,0.06,0.02,0.65,0.02,0.13,0.23,0.65,5442803,1948463,1802337,729637,19335947,699823,17387,31291,89289,0.2,0.62,1.74,1.52,0.6,0.46,0.62,NIOZ,2,1,This study,
VA02-556GR,Mozambique Channel,40.76,-15.12,207,27.4,22.8,0.2,0.07,0.06,0.03,0.61,0.03,0.18,0.23,0.59,263623,86811,82856,37215,811726,39336,3827,4868,12564,0.12,0.65,1.72,1.41,0.58,1.58,0.64,NIOZ,2,1,This study,
VA02-404VL,Mozambique Channel,37.41,-19.26,1475,26.8,21.6,0.23,0.07,0.09,0.01,0.56,0.05,0.3,0.26,0.44,5346033,1529421,1999505,329582,13124858,1059042,80911,70006,120936,0.12,0.69,1.63,1.15,0.64,1.15,0.68,NIOZ,2,1,This study,
VA02-474VL,Mozambique Channel,39.2,-17.1,298,27,21.8,0.16,0.07,0.07,0.03,0.66,0.03,0.11,0.19,0.7,13823035,5864526,5874441,2251886,57772902,2481904,152457,258821,948555,0.2,0.64,1.79,1.59,0.59,1.52,0.64,NIOZ,2,1,This study,
VA02-65VL,Mozambique Channel,36.67,-19.77,690,26.3,,0.22,0.07,0.08,0.02,0.58,0.04,0.18,0.3,0.52,8322646,2512680,3045190,661646,21842442,1581007,109946,183403,318810,0.11,0.68,1.63,1.34,0.62,1.59,0.67,NIOZ,2,1,This study,
VA02-439RKL,Mozambique Channel,37.85,-18.13,1210,26.3,19.3,0.22,0.07,0.08,0.02,0.58,0.04,0.22,0.27,0.52,1032780,328521,383656,75365,2768903,178432,13416,16441,31919,0.17,0.66,1.66,1.3,0.61,1.28,0.65,NIOZ,2,1,This study,
VA02-561RKL,Mozambique Channel,41.31,-16,2560,27.4,22.7,0.24,0.07,0.09,0.01,0.54,0.05,0.43,0.19,0.39,456627,122605,172345,27379,1016591,88773,11000,4858,9991,0.47,0.7,1.67,0.96,0.64,1.35,0.68,NIOZ,2,1,This study,
VA02-373GR,Mozambique Channel,37.23,-18.6,392,26.3,19.3,0.21,0.07,0.07,0.02,0.6,0.03,0.18,0.24,0.58,928059,290627,314966,75834,2625912,145226,10367,13986,33955,0.14,0.65,1.71,1.4,0.59,1.31,0.64,NIOZ,2,1,This study,
VA02-432GR,Mozambique Channel,37.53,-18.17,365,26.3,19.3,0.2,0.06,0.08,0.02,0.61,0.03,0.14,0.21,0.65,5561329,1756225,2092318,615113,16770549,906261,65417,96655,296721,0.2,0.67,1.75,1.5,0.61,1.63,0.66,NIOZ,2,1,This study,
VA02-41VL,Mozambique Channel,36.93,-19.62,1100,26.3,,0.21,0.06,0.08,0.02,0.59,0.04,0.23,0.28,0.49,3237611,949534,1269787,230140,8906477,630171,38436,46893,81866,0.09,0.69,1.64,1.26,0.64,1.09,0.68,NIOZ,2,1,This study,
VA02-515BGR,Mozambique Channel,40.28,-16.12,695,27.3,21.9,0.19,0.06,0.07,0.03,0.62,0.03,,,,95410,31624,32095,12819,305977,14850,,,,0.37,0.65,,,,,0.65,NIOZ,2,1,This study,
VA02-545GR,Mozambique Channel,40.63,-15.59,912,27.4,22.8,0.18,0.06,0.07,0.03,0.64,0.03,0.21,0.22,0.57,709616,237494,254362,106476,2461755,105729,12503,13157,33851,0.14,0.66,1.72,1.36,0.59,1.51,0.65,NIOZ,2,1,This study,
VA02-551RKL,Mozambique Channel,41.42,-15,2803,27.4,22.8,0.23,0.06,0.08,0.01,0.56,0.05,0.44,0.21,0.35,1282630,349330,446415,73369,3041247,265221,29653,14209,24104,0.43,0.69,1.63,0.92,0.63,1.23,0.67,NIOZ,2,1,This study,
VA02-555FGR,Mozambique Channel,40.7,-15.15,755,27.4,22.8,0.21,0.06,0.07,0.02,0.61,0.03,0.21,0.26,0.54,4262239,1273382,1396740,443043,12702094,703140,61780,76508,160992,0.2,0.67,1.68,1.33,0.6,1.42,0.66,NIOZ,2,1,This study,
VA02-546,Mozambique Channel,40.61,-15.6,650,27.4,22.8,0.19,0.06,0.07,0.03,0.62,0.03,0.21,0.24,0.55,11166286,3697697,3905859,1579768,37303403,2077375,180962,211130,488574,0.16,0.67,1.7,1.35,0.61,1.45,0.66,NIOZ,2,1,This study,
VA02-039,Mozambique Channel,36.72,-20,13,26.4,21,0.22,0.06,0.08,0.02,0.58,0.04,0.26,0.27,0.47,2574613,728397,907566,175134,6786255,471163,35715,36231,64575,0.08,0.68,1.64,1.21,0.63,1.16,0.67,NIOZ,2,1,This study,
VA02-040,Mozambique Channel,37.07,-20,29,26.5,22.2,0.25,0.06,0.08,0.01,0.55,0.04,0.36,0.27,0.38,4480529,1149330,1480251,212633,10135385,809360,93765,70079,100048,0.17,0.69,1.59,1.02,0.62,1.42,0.67,NIOZ,2,1,This study,
VA02-547,Mozambique Channel,40.59,-15.6,405,27.4,22.8,0.19,0.07,0.07,0.03,0.6,0.03,0.15,0.23,0.62,17932397,6238502,6910596,2548675,55940958,3215416,256807,378428,1039289,0.1,0.67,1.73,1.47,0.6,1.77,0.66,NIOZ,2,1,This study,
VA02-038,Mozambique Channel,36.58,-19.89,34,26.3,,0.22,0.07,0.08,0.02,0.57,0.04,0.2,0.29,0.52,5129099,1566307,1898721,396612,13319849,948882,76627,113458,202005,0.12,0.67,1.64,1.32,0.61,1.66,0.66,NIOZ,2,1,This study,
VA02-473,Mozambique Channel,39.14,-17.15,302,27,21.8,0.14,0.06,0.05,0.02,0.71,0.02,0.1,0.19,0.71,1025031,419735,386720,135288,5185927,129073,9644,17615,67066,0.2,0.61,1.79,1.61,0.55,1.28,0.6,NIOZ,2,1,This study,
VA02-105,Mozambique Channel,37.13,-18.95,250,26.3,19.3,0.19,0.07,0.07,0.02,0.63,0.03,0.14,0.22,0.64,2101305,757848,770019,224916,7093010,389843,21967,35049,102872,0.07,0.65,1.75,1.51,0.59,1.39,0.64,NIOZ,2,1,This study,
VA02-501,Mozambique Channel,39.78,-16.61,264,27.3,21.9,0.14,0.06,0.05,0.03,0.7,0.02,0.09,0.17,0.74,7823781,3420248,2984216,1427265,39003528,1033914,65035,126871,560544,0.24,0.61,1.82,1.66,0.56,1.33,0.61,NIOZ,2,1,This study,
VA02-441,Mozambique Channel,37.77,-17.9,360,27,21.8,0.18,0.07,0.06,0.02,0.64,0.03,0.14,0.22,0.64,16797705,6210542,5676026,2008993,60490253,3061887,200374,311040,927415,0.12,0.63,1.75,1.51,0.57,1.5,0.63,NIOZ,2,1,This study,
VA02-464,Mozambique Channel,38.64,-17.38,340,27,21.8,0.16,0.07,0.07,0.03,0.65,0.03,0.11,0.2,0.69,13800776,6076420,5717847,2201014,56010959,2355509,148464,271138,942664,0.14,0.63,1.78,1.58,0.57,1.56,0.62,NIOZ,2,1,This study,
VA02-515GR,Mozambique Channel,40.31,-16.11,470,27.3,21.9,0.2,0.06,0.07,0.02,0.61,0.04,0.17,0.24,0.59,11462794,3696619,3941471,1312704,34997678,2146472,147862,204043,497950,0.13,0.67,1.71,1.41,0.61,1.46,0.66,NIOZ,2,1,This study,
VA02-515AGR,Mozambique Channel,40.29,-16.11,578,27.3,21.9,0.16,0.06,0.07,0.02,0.65,0.03,0.17,0.21,0.63,2774215,1055183,1186202,423884,11339513,556664,45224,56234,170518,0.31,0.67,1.75,1.46,0.61,1.54,0.66,NIOZ,2,1,This study,
10,Pakistan Margin,64.3,24.86,784,26.8,22.1,0.11,0.04,0.07,0.02,0.7,0.07,0.11,0.24,0.65,7902097,3170877,4854168,1185257,51698361,4993130,58945,121614,334926,0.01,0.78,1.73,1.54,0.75,0.69,0.77,NIOZ,2,1,This study,
12,Pakistan Margin,64.3,24.86,789,26.8,22.1,0.11,0.04,0.06,0.01,0.72,0.06,,,,1950889,750663,1010801,268792,12961951,1019340,,,,0.01,0.75,,,,,0.75,NIOZ,2,1,This study,
18,Pakistan Margin,64.3,24.96,228,26.8,22.1,0.13,0.04,0.06,0.01,0.69,0.06,,,,1616850,561220,732321,182092,8780775,791151,,,,0.01,0.75,,,,,0.75,NIOZ,2,1,This study,
20,Pakistan Margin,64.3,24.85,,26.8,22.1,0.12,0.04,0.06,0.02,0.71,0.06,0.15,0.24,0.62,2665319,993081,1310822,352168,16117513,1255474,4698,7755,19925,0.01,0.75,1.72,1.47,0.74,0.14,0.75,NIOZ,2,1,This study,
23,Pakistan Margin,64.29,24.88,690,26.8,22.1,0.11,0.04,0.06,0.02,0.71,0.06,,,,1891766,741661,1081375,270922,12172545,1096220,,,,0.01,0.77,,,,,0.77,NIOZ,2,1,This study,
24,Pakistan Margin,64.31,24.78,1204,26.8,22.1,0.12,0.05,0.06,0.02,0.7,0.06,0.15,0.26,0.59,2620498,991318,1339724,373571,15278336,1376089,4442,7559,16926,0.01,0.76,1.69,1.43,0.75,0.13,0.76,NIOZ,2,1,This study,
28,Pakistan Margin,64.25,24.69,1017,26.8,22.1,0.1,0.04,0.06,0.01,0.72,0.07,,,,1286826,517572,759608,185033,9012923,822021,,,,0.01,0.77,,,,,0.77,NIOZ,2,1,This study,
29,Pakistan Margin,64.33,24.81,1492,26.8,22.1,0.15,0.05,0.06,0.01,0.68,0.05,0.24,0.22,0.54,4248003,1376343,1781041,433495,19859045,1538985,22373,21325,51302,0.02,0.73,1.71,1.3,0.71,0.32,0.73,NIOZ,2,1,This study,
34,Pakistan Margin,64.29,24.9,667,26.8,22.1,0.11,0.04,0.06,0.02,0.72,0.06,,,,368257,141495,200631,52479,2406100,192521,,,,0.02,0.76,,,,,0.76,NIOZ,2,1,This study,
39KG,Pakistan Margin,65.92,24.83,695,26.6,22.2,0.11,0.04,0.06,0.02,0.72,0.05,,,,598734,249688,323814,94811,4116555,296573,,,,0.01,0.74,,,,,0.74,NIOZ,2,1,This study,
42,Pakistan Margin,65.98,24.61,313,26.6,22.2,0.12,0.05,0.07,0.02,0.69,0.05,0.11,0.22,0.67,5639849,2254793,2995494,859746,31702710,2295361,4209,8330,24961,0.01,0.73,1.75,1.55,0.73,0.08,0.73,NIOZ,2,1,This study,
44,Pakistan Margin,66.02,24.62,258,26.2,,0.13,0.05,0.06,0.02,0.69,0.04,0.12,0.26,0.62,3181365,1238136,1525637,468059,16931500,1085242,4468,9616,22954,0.01,0.71,1.7,1.5,0.71,0.15,0.71,NIOZ,2,1,This study,
