gdgt0_mu,gdgt1_mu,gdgt2_mu,gdgt3_mu,cren_mu,creniso_mu,gdgt0_sig,gdgt1_sig,gdgt2_sig,gdgt3_sig,cren_sig,creniso_sig,gdgt0_max,gdgt1_max,gdgt2_max,gdgt3_max,cren_max,creniso_max,gdgt0_min,gdgt1_min,gdgt2_min,gdgt3_min,cren_min,creniso_min,gdgt0_weights,gdgt1_weights,gdgt2_weights,gdgt3_weights,cren_weights,creniso_weights
-5.71449747,16.50606433,30.91022452,42.65200902,58.35910565,58.63592486,20.14775535,8.565427665,11.69624942,16.99555052,47.31696016,20.58227085,53.80611682,6.497167,8.156675883,5.363691197,76.46741756,8.168838577,6.578180692,0.987863925,0.193441274,0.36288775,9.441868954,1.947866043,0.059938401,0.506226514,0.538920373,0.983944354,0.108248388,0.31188879
-7.747893171,16.35123915,30.02968459,38.01702008,44.00671018,59.8338839,20.42803712,11.53504278,11.76890527,16.23456461,26.77386223,20.6525809,80.14107137,6.584461282,7.782354225,3.129826196,69.78318477,23.09859443,1.382231389,1.450911931,1.159928759,0.310408014,9.441093642,0.13537531,0.050626051,0.387781471,0.536644092,0.981597804,0.019594037,0.305714759
-8.029675449,16.04732801,30.08271763,45.43649172,43.99032576,61.54435913,18.61163701,11.55888254,11.6641433,16.67367644,26.16529637,20.66882793,80.08094032,6.591244805,8.620338281,4.148199898,76.38089616,21.67210381,0.742731155,0.868499232,1.173349207,0.362015147,9.440794243,1.419714599,0.058464013,0.509509966,0.558556494,0.987049134,0.019110313,0.143871221
1.379550523,20.99521096,31.73984618,32.96319622,51.5653942,57.67703881,15.56951782,8.488521993,13.83144611,10.93251391,23.52440905,23.15326156,41.43459197,5.297741147,8.197041695,4.476787668,72.08335965,17.53868444,5.353479604,0.552817713,1.477147338,0.302899239,48.75693772,1.586485836,0.188762813,0.916426199,0.694722054,0.858927414,0.10711207,0.183468291
-8.029675449,16.2095823,30.08271763,45.43992277,45.48585696,61.40306557,18.9198778,11.55885922,11.67023035,16.9747539,26.37756129,20.79167237,80.07888894,6.557186779,8.620338281,4.112322322,76.33113343,21.92110792,0.749113124,0.867377542,1.181869183,0.362015147,9.441499352,1.366868159,0.058464013,0.509522989,0.535917917,0.987036625,0.019659589,0.285325459
-4.885055746,22.3851144,30.37288616,38.29240998,58.55120865,61.59546523,19.0753583,13.22331359,13.53511463,12.3256292,39.40676485,21.41992273,68.47904623,6.556753071,8.266489022,4.098686354,76.32865032,21.99369809,1.779025923,0.643097123,0.084955196,0.374153477,9.880107842,1.36710418,0.059709912,0.50456898,0.542629369,0.96449684,0.03102562,0.363489574
-3.724452459,16.46988709,32.00712998,42.5763614,57.420569,58.8912719,20.15647929,8.595691603,11.69700684,16.84783567,47.31696016,20.29589218,53.72380256,6.482428549,8.156675883,4.975296778,76.40796384,15.39330269,1.591756794,0.561109992,1.003994729,0.36288775,9.441868954,0.749185832,0.059938401,0.505920318,0.544509938,0.981978642,0.10483193,0.305250409
1.158019134,20.14640936,31.72372126,38.25220377,51.5653942,57.2336775,15.56951782,8.605829634,13.82761751,10.9144913,23.52440905,18.84408464,41.80532038,5.282418617,9.043845626,4.494403449,72.09350486,15.1021848,5.297916906,0.552817713,0.935199404,1.500690469,48.41704521,1.581649865,0.188762813,0.916426199,0.690582381,0.836653738,0.105198531,0.183468291
-7.91010366,16.14567329,28.92684414,40.37695767,45.42630138,61.58698518,18.9238378,10.01853962,10.5722657,16.97583013,26.19312519,20.55650077,79.68743331,6.635345641,7.735565657,4.11116941,76.39207213,21.88734371,1.859878827,0.868789788,1.179366256,0.366690445,8.797559487,1.316270987,0.058463077,0.511423512,0.529712538,0.98055433,0.020324105,0.305300957
-7.978434603,16.22774567,28.18605118,45.43622658,43.99349009,61.4864167,18.65896532,11.44628712,11.54282796,16.64949014,26.180562,20.79171744,80.01657798,6.558631151,7.756030326,4.112322322,74.96147375,21.97388847,1.682631975,1.077634966,0.547451879,0.365283135,9.890223611,1.366261599,0.058464013,0.509222492,0.538853805,0.980982497,0.019659589,0.30133486
-7.894077091,16.22856276,28.97133408,39.89651828,45.42630138,61.35531035,18.9194334,10.01853962,11.66221922,16.97720261,26.19316105,20.67018373,79.69096103,6.557078315,7.719256727,4.179801598,76.38581002,21.97990196,1.64195674,0.867162616,0.497749052,0.366690445,8.703893842,0.856184804,0.058456746,0.511438074,0.524616755,0.980529768,0.019558164,0.305300957
1.462827803,20.14640936,31.71786716,38.15607916,51.61003202,57.85008,15.56951782,8.488521993,13.49399734,10.93251391,23.38263781,20.08199995,41.43459197,5.297741147,8.197041695,4.476787668,72.08335965,17.46261222,5.353479604,0.578732265,1.580780763,1.500423501,48.62172741,1.736624803,0.188762813,0.916426199,0.78560368,0.899695571,0.105198531,0.183468291
1.462827803,20.14640936,31.72372126,38.25220377,51.5653942,57.67703881,15.45103334,8.488521993,11.79728649,10.91893993,23.52440905,20.08199995,41.64178571,5.287061944,10.52023152,4.438266442,72.08335965,17.54947344,5.353479604,0.555383643,1.603118936,1.500423501,48.62172741,1.586089931,0.224980421,0.916426199,0.696519132,0.279117611,0.105853177,0.183468291
